document,program,safe,yucca,problem,sci,storage,trans,Year,Congress
IIA.1976.brandt.txt,0.117891817,0.147018031,0.098474341,0.253814147,0.098474341,0.137309293,0.147018031,1976,94
IIA.1976.conlin.txt,0.122694592,0.320725227,0.092060019,0.16755236,0.188340106,0.063613629,0.045014067,1976,94
IIA.1976.stevens.txt,0.125645439,0.144922547,0.038898451,0.344922547,0.178657487,0.094320138,0.072633391,1976,94
IIA.1976.scott.txt,0.142857143,0.131092437,0.119327731,0.166386555,0.201680672,0.107563025,0.131092437,1976,94
IIA.1976.coggins.txt,0.156895128,0.162675475,0.070189926,0.185796862,0.127993394,0.151114781,0.145334434,1976,94
IIA.1976.trucken.txt,0.16407355,0.129420085,0.14427157,0.248231966,0.079915134,0.13437058,0.099717115,1976,94
IIA.1976.stein.txt,0.164150213,0.46089818,0.070654278,0.081494386,0.073364305,0.051684088,0.097754549,1976,94
IIA.1976.prevost.txt,0.172077922,0.11525974,0.11525974,0.251623377,0.092532468,0.126623377,0.126623377,1976,94
IIA.1976.rowe.txt,0.179435074,0.569193253,0.024385288,0.057102215,0.067059541,0.065637066,0.037187564,1976,94
IIA.1976.ruppe.txt,0.188078109,0.137718397,0.094552929,0.25282631,0.123329908,0.137718397,0.065775951,1976,94
IIA.1976.kuhlman.txt,0.212067436,0.268744454,0.047471162,0.02961402,0.257874889,0.142968057,0.041259982,1976,94
IIA.1976.taylor.txt,0.38425656,0.098542274,0.04548105,0.233236152,0.086297376,0.102623907,0.049562682,1976,94
IIA.1976.dyer.txt,0.041508639,0.57248209,0.023809524,0.066582385,0.222924568,0.023809524,0.04888327,1976,94
IIA.1976.liverman.txt,0.073920266,0.40337763,0.042912514,0.132059801,0.238648948,0.066168328,0.042912514,1976,94
IIA.1976.grant.txt,0.104354753,0.650823155,0.037440255,0.069038768,0.070897504,0.024429103,0.043016463,1976,94
IIA.1976.hollister.txt,0.118738405,0.118738405,0.118738405,0.222634508,0.222634508,0.105751392,0.092764379,1976,94
IIA.1976.rowe2.txt,0.156772944,0.64505901,0.033468381,0.047031883,0.034701427,0.045798837,0.037167518,1976,94
OPH.1977.scott.txt,0.047192449,0.225243961,0.031514958,0.280115182,0.050551912,0.276755719,0.08862582,1977,95
OPH.1977.debuchananne.txt,0.040406674,0.191866528,0.029457769,0.040406674,0.589676747,0.071428571,0.036757039,1977,95
OPH.1977.burton.txt,0.054109124,0.505773149,0.041430835,0.022413403,0.152365859,0.177722436,0.046185194,1977,95
OPH.1977.unruh.txt,0.066598882,0.491272666,0.027452974,0.059481444,0.205388917,0.091509914,0.058295204,1977,95
